Language,Foreign,Foreign Plural,English,English Plural,PartOfSpeech,Gender,Score,LastDate,ExtraInfo,Compound?,Range?,Confusable
Coptic,ⲡ,ⲛ,The,The,Article,M,10,,,,,
Coptic,ⲡⲉ,ⲛ̅,The,The,Article,M,10,,,,,
Coptic,ⲧ,ⲛ,The,The,Article,F,10,,,,,
Coptic,ⲧⲉ,ⲛ̅,The,The,Article,F,10,,,,,
Coptic,ⲟⲩ,Ϩⲉⲛ,A(n),Some,Article,,10,,,,,
Coptic,ⲕⲉ,Ϩⲉⲛⲕⲉ,Another,Some other,Article,,10,,,,,
Coptic,,ⲛⲓⲙ,All,All,Article,,10,,,,,
Coptic,ⲡ-ⲕⲉ,,The other,,Article,M,10,,,,,
Coptic,ⲧ-ⲕⲉ,,The other,,Article,F,10,,,,,
Coptic,ⲡⲉϊ,ⲛⲉϊ,This,These,Article,M,10,,,,,
Coptic,ⲡⲉⲉⲓ,ⲛⲉⲉⲓ,This,These,Article,M,10,,,,,
Coptic,ⲧⲉϊ,ⲛⲉϊ,This,These,Article,F,10,,,,,
Coptic,ⲧⲉⲉⲓ,ⲛⲉⲉⲓ,This,These,Article,F,10,,,,,
Coptic,ⲁⲃⲟⲕⲉ,,"Raven, crow",,Noun,M,10,,(m.),,,
Coptic,ⲁⲉⲧⲟⲥ,,Eagle,,Noun,M,10,,(m.),,,
Coptic,ⲃⲁϣⲟⲣ,,Fox,Foxes,Noun,M,10,,(m.),,,
Coptic,ⲃⲁⲓ,,(Screech) owl 𓅓,,Noun,M,10,,(m.),,,
Coptic,ⲅⲁⲗⲏ,,Cat,,Noun,M,10,,(m.),,,
Coptic,ⲁⲅⲉⲗⲏ,,Herd,,Noun,M,50,,(m.),,,
Coptic,ⲇⲣⲁⲕⲱⲛ,,"Serpent, Dragon",,Noun,M,500,,(m.),,,
Coptic,ⲇⲁⲓⲙⲟⲛ,,Demon,,Noun,M,1000,,(m.),,,
Coptic,ⲉϣⲱ,,Sow,,Noun,F,10,,(f.),,,
Coptic,ⲉⲙⲉϣϬⲉ,,Nile fish,Nile fishes,Noun,M,10,,(m.),,,
Coptic,ⲉⲥⲟⲟⲩ,,Sheep,Sheep,Noun,M,10,,(m.),,,
Coptic,ⲍⲉⲛⲍⲉⲛ,,"Lizard, chameleon",,Noun,M,10,,(m.),,,
Coptic,ⲍⲱⲟⲛ,,Animal,,Noun,M,100,,(m.),,,
Coptic,ⲏⲣϪ,,Chicken,,Noun,M,10,,(m.),,,
Coptic,ⲉⲣϪ,,Chicken,,Noun,M,10,,(m.),,,
Coptic,ⲁⲙⲏ,,Wasp,,Noun,M,10,,(m.),,,
Coptic,ⲡⲁⲛⲑⲏⲣ,,Panther,,Noun,M,1000,,(m.),,,
Coptic,ⲑⲉⲣⲙⲟⲩⲑⲓⲥ,,Asp,,Noun,F,10,,(f.),,,
Coptic,ⲉⲓⲱ,,Donkey,,Noun,M,10,,(m./f.),,,
Coptic,ⲉⲓⲃ,,"Claw, hoof",,Noun,M,10,,(m.),,,
Coptic,ⲕⲁⲕⲟⲩⲡⲁⲧ,,Hoopoe,,Noun,M,10,,?,,,
Coptic,ⲕⲣⲟⲩⲣ,,Frog,,Noun,M,10,,?,,,
Coptic,ⲕⲁⲗⲱⲡⲟⲩ,,Lapdog,,Noun,M,10,,(m./f.),,,
Coptic,ⲕⲁⲗⲏ,,"Weasel, mongoose",,Noun,F,10,,(f.),,,
Coptic,ⲗⲉⲟⲡⲁⲣⲇⲁⲗⲓⲥ,,Leopard,,Noun,F,500,,(f.),,,
Coptic,ⲗⲁⲃⲟⲓ,,Lionness,Lionnesses,Noun,F,10,,(f.),,,
Coptic,ⲙⲥⲁϨ,,Crocodile,,Noun,M,10,,(m.),,,
Coptic,ⲙⲟⲩⲓ,,Lion,,Noun,M,10,,(m.),,,
Coptic,ⲗⲁⲃⲏⲥ,,Nile Carp,,Noun,M,10,,(m.),,,
Coptic,ⲛⲟⲩⲣⲉ,,Vulture,,Noun,M,10,,(m.),,,
Coptic,ⲛⲟϣⲣ,,"Falcon, vulture",,Noun,M,10,,(m.),,,
Coptic,ⲗⲩⲝ,,Crested lark,,Noun,M,10,,?,,,
Coptic,ⲁⲣⲝ,,Bear,,Noun,M,50,,?,,,
Coptic,ⲟⲉⲓⲗⲉ,,Ram,,Noun,M,10,,(m.),,,
Coptic,ⲟⲓϨ,,Cattle,Cattle,Noun,M,10,,(m.),,,
Coptic,ⲡⲓⲛ,,Mouse,Mice,Noun,M,10,,(m.),,,
Coptic,ⲡⲟⲣⲕ,,Calf,Calves,Noun,M,1,,(m.),,,
Coptic,ⲣⲓⲣ,,Pig,,Noun,M,10,,(m.),,,
Coptic,ⲣⲏⲓ,,African tetra (a fish),African tetras,Noun,M,10,,(m.),,,
Coptic,ⲥⲙⲟⲩⲛⲉ,,Nile goose,Nile geese,Noun,F,10,,(f.),,,
Coptic,ⲥⲓⲧ,,Basilisk (lizard),Basilisks,Noun,M,10,,(m.),,,
Coptic,ⲥⲁⲣⲁϬⲱⲟⲩϣ,,Hare,,Noun,M,10,,(m.),,,
Coptic,ⲧⲃⲧ,,Fish,Fish,Noun,M,10,,(m.),,,
Coptic,ⲧⲃⲛⲏ,,Animal,,Noun,M,10,,(m.),,,
Coptic,ⲟⲩϨⲟⲣ,ⲟⲩϨⲟⲟⲣ,Dog,,Noun,M,10,,(m./f.),,,
Coptic,ⲟⲩⲁⲙⲟⲙⲉ,,Worm,,Noun,F,10,,(f.),,,
Coptic,ⲟⲩⲱⲛϣ,,"Egyptian wolf, Egyptian jackal",Egyptian wolves,Noun,M,10,,(m.),,,
Coptic,ⲫⲟⲓⲛⲓⲝ,,Phoenix,Phonixes,Noun,M,1000,,(m.),,,
Coptic,ⲉⲗⲉⲫⲁⲥ,,Elephant,,Noun,M,1000,,(m.),,,
Coptic,ⲭⲏⲣⲁⲥ,,Young pig,,Noun,M,10,,(m.),,,
Coptic,ⲃⲣⲟⲩⲭⲟⲥ,,Locust,,Noun,M,10,,(m.),,,
Coptic,ⲭⲓⲙⲁⲣⲣⲁⲓⲥ,,Chimera,,Noun,M,100,,(m.),,,
Coptic,ⲁⲯⲩⲭⲏ,,Inanimate thing,,Noun,M,10,,(m./f.),,,
Coptic,ⲯⲩⲭⲏ,,Animate being,,Noun,M,10,,(m./f.),,,
Coptic,ⲱⲃⲧ,,Goose,Geese,Noun,M,10,,(m.),,,
Coptic,ⲁϨⲱⲙ,,Eagle,,Noun,M,10,,(m.),,,
Coptic,Ϩⲓⲃⲱⲓ,,Ibis,,Noun,M,10,,(m.),,,
Coptic,ϣⲁϥⲟⲩⲣ,,Nile Tilapia,,Noun,M,10,,(m.),,,
Coptic,ϣⲉⲛⲏⲧ,,"Shark, Fish",,Noun,M,10,,(m.),,,
Coptic,ϣⲟⲗⲙⲉⲥ,,Gnat,,Noun,F,10,,(f.),,,
Coptic,ϣⲟϣ,,Antelope,,Noun,M,10,,(m./f.),,,
Coptic,ⲕⲁⲛⲟⲩϥⲓ,,Fish,Fish,Noun,M,10,,(m.),,,
Coptic,ϥⲛⲧ,,Worm,,Noun,M,10,,(m./f.),,,
Coptic,ⲁϥ,,Fly,Flies,Noun,F,10,,(f.),,,
Coptic,Ϩⲓⲉⲓⲃ,,Lamb,,Noun,M,10,,(m./f.),,,
Coptic,Ϩⲟϥ,,Snake,,Noun,M,10,,(m.),,,
Coptic,Ϩⲟⲟⲗⲉ,,Moth,,Noun,F,10,,(f.),,,
Coptic,Ϩⲁⲗⲏⲧ,Ϩⲁⲗⲁⲧⲉ,Bird,,Noun,M,10,,(m.),,,
Coptic,Ϩⲧⲟ,,Horse,,Noun,M,10,,(m.),,,
Coptic,ϪⲉⲕϪⲓⲕ,,Ant,,Noun,M,10,,(m./f.),,,
Coptic,Ϫⲁⲕⲟⲩⲗ,,Sparrow,,Noun,M,1,,(m.),,,
Coptic,Ϫⲛⲁⲩ,,Sloth,,Noun,M,10,,(m.),,,
Coptic,Ϫⲓⲕⲣⲓⲥ,,"Tiger, panther",,Noun,M,75,,(m.),,,
Coptic,Ϭⲣⲟⲟⲙⲡⲉ,,"Dove, pigeon",,Noun,M,10,,(m./f.),,,
Coptic,Ϭⲁⲡⲓ,,Monkey,,Noun,M,10,,(m./f.),,,
Coptic,ϬⲏⲛϬⲗⲱ,,Bat,,Noun,F,10,,(f.),,,
Coptic,Ϭⲁⲙⲟⲩⲗ,,Camel 🐪,,Noun,M,1000,,(m.),,,
Coptic,Ϭⲁⲙⲟⲩⲗⲉ,,Cameless 🐪,Camelesses 🐪🐪🐪,Noun,F,1000,,(f.),,,
Coptic,ϬⲱϮⲟⲩⲛ,,Zodiac,,Noun,M,10,,(m.),,,
Coptic,ⲕⲁϨ,,"Land, earth, ground",,Noun,M,10,,,,,
Coptic,ⲕⲟⲥⲙⲟⲥ,,"World, cosmos",,Noun,M,10,,,,,
Coptic,Ϩⲁⲗⲁⲥⲥⲁ,,"Sea, ocean",,Noun,F,10,,,,,
Coptic,ⲡⲉ,ⲡⲏⲩⲉ,"Sky, heaven",Skies,Noun,F,10,,,,,
Coptic,ⲣ̅ⲣⲟ,,"King, ruler",,Noun,M,10,,,,,
Coptic,ⲙⲛ̅ⲧ-ⲉⲣⲟ,,"Kingdom, empire",,Noun,F,10,,,,,
Coptic,ⲙⲛ̅ⲧ-Ϩⲏⲕⲉ,,Poverty,,Noun,F,10,,,,,
Coptic,Ϩⲏⲕⲉ,,Poor,,Noun,M,10,,,,,
Coptic,ⲣⲱⲙⲉ,,"Person, human",,Noun,M,10,,,,,
Coptic,Ϫⲟⲉⲓⲥ,,"Lord, master",,Noun,M,10,,,,,
Coptic,ⲥⲟⲛ,,Brother,,Noun,M,10,,,,,
Coptic,ⲥⲱⲛⲉ,,Sister,,Noun,F,10,,,,,
Coptic,ⲥⲛⲏⲩ,,,Siblings,Noun,M,10,,,,,
Coptic,ⲥϨⲓⲙⲉ,ⲥϨⲓⲟⲙⲉ,"Woman, wife",Women,Noun,F,10,,,,,
Coptic,Ϩⲟⲟⲩⲧ,,Man,Men,Noun,M,10,,,,,
Coptic,ϣⲏⲣⲉ,,Child,Children,Noun,M,10,,,,,
Coptic,ⲙⲁⲁⲩ,,Mother,,Noun,F,10,,,,,
Coptic,ⲉⲓⲱⲧ,,Father,,Noun,M,10,,,,,
Coptic,ⲡⲁϊ,,This,,Pronoun,M,10,,,,,
Coptic,ⲡⲁⲉⲓ,,This,,Pronoun,M,10,,,,,
Coptic,ⲧⲁϊ,,This,,Pronoun,F,10,,,,,
Coptic,ⲧⲁⲉⲓ,,This,,Pronoun,F,10,,,,,
Coptic,ⲛⲁϊ,,These,,Pronoun,,10,,,,,
Coptic,ⲛⲁⲉⲓ,,These,,Pronoun,,10,,,,,
Coptic,ⲡⲏ,,This guy,,Pronoun,M,10,,,,,
Coptic,ⲧⲏ,,This gal,,Pronoun,F,10,,,,,
Coptic,ⲛⲏ,,These guys,,Pronoun,,10,,,,,
Coptic,ⲟⲩⲁ,,Someone (masc),,Pronoun,M,10,,,,,
Coptic,ⲟⲩⲉⲓ,,Someone (fem),,Pronoun,F,10,,,,,
Coptic,Ϩⲟⲉⲓⲛⲉ,,Some (ones),,Pronoun,,10,,,,,
Coptic,Ϩⲉⲛⲕⲟⲟⲩⲉ,,Some others,,Pronoun,,10,,,,,
Coptic,Ϭⲉ,,Another one,,Pronoun,,10,,,,,
